Geography,Indicator,Age Group,Sex,Number of Persons,Percent,
Alberta,"Perceived mental health, very good or excellent","Total, 1 to 17",Both sexes,711300 ,81.6,
Alberta,"Perceived mental health, very good or excellent","Total, 1 to 17",Male,358200 ,80,
Alberta,"Perceived mental health, very good or excellent","Total, 1 to 17",Female,353100 ,83.2,
Alberta,"Perceived mental health, very good or excellent",1 to 4 years,Both sexes,203400 ,92.9,
Alberta,"Perceived mental health, very good or excellent",1 to 4 years,Male,103400 ,92,
Alberta,"Perceived mental health, very good or excellent",1 to 4 years,Female,100000 ,93.8,
Alberta,"Perceived mental health, fair or poor","Total, 1 to 17",Both sexes,43200 ,5,
Alberta,"Perceived mental health, fair or poor","Total, 1 to 17",Male,23900 ,5.3,
Alberta,"Perceived mental health, fair or poor","Total, 1 to 17",Female,19300 ,4.6,
Alberta,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,33600 ,5.2,
Alberta,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Male,17500 ,5.2,
Alberta,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Female,16100 ,5.1,
Alberta,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,13700 ,2.1,
Alberta,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Male,5900 ,1.76,
Alberta,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Female,7800 ,2.5,
Alberta,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,50600 ,7.8,
Alberta,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Male,34700 ,10.4,
Alberta,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Female,15900 ,5,
Alberta,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Both sexes,185500 ,29,
Alberta,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Male,88800 ,27,
Alberta,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Female,96700 ,31,
British Columbia,"Perceived health, very good or excellent","Total, 1 to 17",Both sexes,683000 ,87.7,
British Columbia,"Perceived health, very good or excellent","Total, 1 to 17",Male,352000 ,87.7,
British Columbia,"Perceived health, very good or excellent","Total, 1 to 17",Female,331000 ,87.7,
British Columbia,"Perceived health, very good or excellent",1 to 4 years,Both sexes,161100 ,91.6,
British Columbia,"Perceived health, very good or excellent",1 to 4 years,Male,81600 ,90.2,
British Columbia,"Perceived health, very good or excellent",1 to 4 years,Female,79500 ,93,
British Columbia,"Perceived health, fair or poor ","Total, 1 to 17",Both sexes,16800 ,2.2,
British Columbia,"Perceived health, fair or poor ","Total, 1 to 17",Male,6400 ,1.6,
British Columbia,"Perceived health, fair or poor ","Total, 1 to 17",Female,10400 ,2.8,
British Columbia,"Perceived health, fair or poor ",1 to 4 years,Both sexes,2100 ,1.21,
British Columbia,"Perceived mental health, very good or excellent","Total, 1 to 17",Both sexes,628200 ,80.6,
British Columbia,"Perceived mental health, very good or excellent","Total, 1 to 17",Male,325000 ,80.9,
British Columbia,"Perceived mental health, very good or excellent","Total, 1 to 17",Female,303200 ,80.3,
British Columbia,"Perceived mental health, very good or excellent",1 to 4 years,Both sexes,163400 ,92.8,
British Columbia,"Perceived mental health, very good or excellent",1 to 4 years,Male,82100 ,90.7,
British Columbia,"Perceived mental health, very good or excellent",1 to 4 years,Female,81300 ,94.9,
British Columbia,"Perceived mental health, fair or poor","Total, 1 to 17",Both sexes,40600 ,5.2,
British Columbia,"Perceived mental health, fair or poor","Total, 1 to 17",Male,20700 ,5.1,
British Columbia,"Perceived mental health, fair or poor","Total, 1 to 17",Female,19900 ,5.3,
British Columbia,"Perceived mental health, fair or poor",1 to 4 years,Both sexes,1300 ,0.72,
British Columbia,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,32600 ,5.3,
British Columbia,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Male,14800 ,4.7,
British Columbia,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Female,17800 ,6,
British Columbia,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,13500 ,2.2,
British Columbia,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Male,4400 ,1.41,
British Columbia,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Female,9100 ,3.1,
British Columbia,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,40200 ,6.6,
British Columbia,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Male,25100 ,8,
British Columbia,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Female,15100 ,5.1,
British Columbia,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Both sexes,164500 ,27,
British Columbia,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Male,69500 ,22,
British Columbia,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Female,95000 ,32,
Territories,"Perceived health, very good or excellent","Total, 1 to 17",Both sexes,25600 ,85.2,
Territories,"Perceived health, very good or excellent","Total, 1 to 17",Male,12800 ,82.8,
Territories,"Perceived health, very good or excellent","Total, 1 to 17",Female,12800 ,87.8,
Territories,"Perceived health, very good or excellent",1 to 4 years,Both sexes,6600 ,86.5,
Territories,"Perceived health, very good or excellent",1 to 4 years,Male,3200 ,82.1,
Territories,"Perceived health, very good or excellent",1 to 4 years,Female,3400 ,91.2,
Territories,"Perceived health, fair or poor ","Total, 1 to 17",Both sexes,800 ,2.8,
Territories,"Perceived health, fair or poor ","Total, 1 to 17",Male,400 ,3,
Territories,"Perceived health, fair or poor ","Total, 1 to 17",Female,400 ,2.6,
Territories,"Perceived mental health, very good or excellent","Total, 1 to 17",Both sexes,23000 ,77,
Territories,"Perceived mental health, very good or excellent","Total, 1 to 17",Male,11500 ,75,
Territories,"Perceived mental health, very good or excellent","Total, 1 to 17",Female,11500 ,79,
Territories,"Perceived mental health, very good or excellent",1 to 4 years,Both sexes,6600 ,87.6,
Territories,"Perceived mental health, very good or excellent",1 to 4 years,Male,3400 ,86.8,
Territories,"Perceived mental health, very good or excellent",1 to 4 years,Female,3200 ,88.5,
Territories,"Perceived mental health, fair or poor","Total, 1 to 17",Both sexes,1400 ,4.6,
Territories,"Perceived mental health, fair or poor","Total, 1 to 17",Male,900 ,5.8,
Territories,"Perceived mental health, fair or poor","Total, 1 to 17",Female,500 ,3.3,
Territories,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,700 ,3.5,
Territories,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Male,400 ,3.5,
Territories,Anxiety disorder (5 to 17 years old),"Total, 5 to 17 years",Female,300 ,3.5,
Territories,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,600 ,2.3,
Territories,Mood disorder (5 to 17 years old),"Total, 5 to 17 years",Female,300 ,2.8,
Territories,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Both sexes,1600 ,7.2,
Territories,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Male,700 ,6.8,
Territories,Learning disability or learning disorder (5 to 17 years old),"Total, 5 to 17 years",Female,900 ,7.7,
Territories,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Both sexes,6500 ,29,
Territories,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Male,3000 ,26,
Territories,Difficulties in getting to sleep (5 to 17 years old),"Total, 5 to 17 years",Female,3500 ,32,
